file_name,telegram_type,station_code,data_id,announced,created,obs_kind,date,fct_start_day,fct_start_hour,fct_end_day,fct_end_hour,wind_dir,wind_speed_over100kt_flag,wind_speed,wind_gusts_over100kt_flag,wind_gusts,wind_dir_min,wind_dir_max,cavok,visibility,rvr_count,wx_count,cloud_count,str_cloud,temp_sign,temp,dew_point_sign,dew_point,altimeter_hpa,bulletin,wx
20180110_110000.002,0,RJFK,,,,0,20180110110000,-1,-1,-1,-1,300,-1,8,-1,-1,-1,-1,,9999,0,1,3,FEW 5   SCT 20   BKN 45,1,2,-1,0,1017,RJFK 101100Z 30008KT 9999 -SHRASN FEW005 SCT020 BKN045 02/M00     Q1017 RMK 1ST005 3CU020 5CU045 A3004=,- RA SN SH
20180110_120000.002,0,RJFK,,,,0,20180110120000,-1,-1,-1,-1,300,-1,9,-1,-1,-1,-1,,9999,0,1,3,FEW 20   SCT 45   BKN 70,1,2,-1,1,1018,RJFK 101200Z 30009KT 9999 -SHRASN FEW020 SCT045 BKN070 02/M01     Q1018 RMK 1CU020 3CU045 6AC070 A3006=,- RA SN SH
20180110_210000.002,0,RJFK,,,,0,20180110210000,-1,-1,-1,-1,340,-1,9,-1,-1,-1,-1,,8000,0,1,3,FEW 5   SCT 15   BKN 25,-1,1,-1,2,1019,RJFK 102100Z 34009KT 8000 -SHSN FEW005 SCT015 BKN025 M01/M02     Q1019 RMK 1ST005 3CU015 5CU025 A3011=,- SN SH
20180110_220000.002,0,RJFK,,,,0,20180110220000,-1,-1,-1,-1,330,-1,9,-1,-1,-1,-1,,9999,0,1,2,FEW 10   SCT 20,-1,2,-1,2,1020,RJFK 102200Z 33009KT 9999 -SHSN FEW010 SCT020 M02/M02 Q1020     RMK 1ST010 3CU020 A3013=,- SN SH
20180110_230000.003,0,RJFK,,,,0,20180110230000,-1,-1,-1,-1,340,-1,7,-1,-1,-1,-1,,9999,0,0,2,FEW 10   BKN -9999,-1,1,-1,2,1020,RJFK 102300Z 34007KT 9999 FEW010 BKN/// M01/M02 Q1020 RMK     1ST010 A3013=,
20180111_000000.002,0,RJFK,,,,0,20180111000000,-1,-1,-1,-1,999,-1,2,-1,-1,-1,-1,,9999,0,0,2,FEW 10   SCT -9999,-1,0,-1,2,1020,RJFK 110000Z VRB02KT 9999 FEW010 SCT/// M00/M02 Q1020 RMK     1ST010 A3014=,
20180111_010000.002,0,RJFK,,,,0,20180111010000,-1,-1,-1,-1,320,-1,10,-1,-1,-1,-1,,9999,0,1,2,FEW 20   SCT 40,1,2,-1,2,1021,RJFK 110100Z 32010KT 9999 -SHSN FEW020 SCT040 02/M02 Q1021 RMK     1CU020 3CU040 A3017=,- SN SH
20180111_020000.002,0,RJFK,,,,0,20180111020000,-1,-1,-1,-1,340,-1,11,-1,-1,300,10,,9999,0,0,1,FEW 20,1,3,-1,2,1021,RJFK 110200Z 34011KT 300V010 9999 FEW020 03/M02 Q1021 RMK     1CU020 A3016=,
20180111_030000.001,0,RJFK,,,,0,20180111030000,-1,-1,-1,-1,330,-1,15,-1,-1,-1,-1,,9999,0,0,2,FEW 20   BKN 35,1,3,-1,3,1020,RJFK 110300Z 33015KT 9999 FEW020 BKN035 03/M03 Q1020 RMK     1CU020 5CU035 A3014=,
20180111_040000.002,0,RJFK,,,,0,20180111040000,-1,-1,-1,-1,330,-1,14,-1,-1,-1,-1,,9999,0,1,2,FEW 20   SCT 35,1,3,-1,3,1020,RJFK 110400Z 33014KT 9999 -SHSN FEW020 SCT035 03/M03 Q1020 RMK     1CU020 4CU035 A3013=,- SN SH
20180111_050000.002,0,RJFK,,,,0,20180111050000,-1,-1,-1,-1,330,-1,14,-1,-1,-1,-1,,9999,0,1,2,FEW 20   SCT 35,1,3,-1,3,1020,RJFK 110500Z 33014KT 9999 -SHSN FEW020 SCT035 03/M03 Q1020 RMK     1CU020 3CU035 A3013=,- SN SH
